company_name,ric_code,esg_score,environment_scores,social_scores,governance_scores,ranks,total_industries
Webjet Ltd,WEB.AX,33,24,36,38,202,322
Sigma Healthcare Ltd,SIG.AX,53,47,47,67,64,151
Saracen Mineral Holdings Ltd,SAR.AX,47,27,45,78,240,555
Freedom Foods Group Ltd,FNP.AX,37,24,44,37,241,375
WPP Aunz Ltd,WPP.AX,29,4,44,18,171,256
Sundance Resources Ltd,SDL.AX,12,0,14,27,495,555
Silex Systems Ltd,SLX.AX,23,38,13,24,192,232
AIC Mines Ltd,A1M.AX,13,0,22,17,488,555
Tanami Gold NL,TAM.AX,10,3,9,21,518,555
Sunland Group Ltd,SDG.AX,26,0,34,42,316,400
IOOF Holdings Ltd,IFL.AX,59,45,51,71,91,375
iSignthis Ltd,ISX.AX,21,0,28,20,547,593
NIB Holdings Ltd,NHF.AX,66,31,68,76,54,305
Melbana Energy Ltd,MAY.AX,20,6,15,49,306,410
Troy Resources Ltd,TRY.AX,13,14,11,14,492,555
Avecho Biotechnology Ltd,AVE.AX,21,0,36,22,425,538
Westgold Resources Ltd,WGX.AX,38,39,31,47,293,555
Challenger Ltd,CGF.AX,56,65,76,29,98,305
Platinum Asset Management Ltd,PTM.AX,51,27,45,63,148,375
Karoon Energy Ltd,KAR.AX,29,9,28,61,239,410
Retail Food Group Ltd,RFG.AX,17,0,25,19,324,375
Nick Scali Ltd,NCK.AX,22,0,26,29,243,266
Charter Hall Group,CHC.AX,76,65,88,74,23,400
BWP Trust,BWP.AX,19,29,17,10,399,452
Money3 Corp Ltd,MNY.AX,33,9,39,34,635,996
NRW Holdings Ltd,NWH.AX,37,26,36,52,141,224
Mineral Resources Ltd,MIN.AX,66,72,69,55,106,555
JB Hi-Fi Ltd,JBH.AX,51,36,59,49,105,266
AGL Energy Ltd,AGL.AX,55,40,47,92,20,44
Donaco International Ltd,DNA.AX,13,0,14,23,297,322
Kingsrose Mining Ltd,KRM.AX,17,9,22,22,452,555
Webcentral Group Ltd,WCG.AX,34,15,57,20,486,813
Servcorp Ltd,SRV.AX,40,19,49,51,218,400
Incitec Pivot Ltd,IPL.AX,66,55,64,89,67,326
TechnologyOne Ltd,TNE.AX,57,25,75,51,162,813
Abacus Property Group,ABP.AX,71,90,75,46,49,452
BCI Minerals Ltd,BCI.AX,14,7,19,15,483,555
Praemium Ltd,PPS.AX,26,5,44,15,26,34
Magellan Financial Group Ltd,MFG.AX,33,20,61,14,261,375
Medusa Mining Ltd,MML.AX,21,13,18,40,403,555
Renu Energy Ltd,RNE.AX,16,20,12,14,244,263
Vita Group Ltd,VTG.AX,45,0,46,65,136,266
Ingenia Communities Group,INA.AX,61,36,86,57,99,400
Brookside Energy Ltd,BRK.AX,8,3,7,20,395,410
Syrah Resources Ltd,SYR.AX,50,29,59,67,219,555
Energy Resources Of Australia Ltd,ERA.AX,44,50,38,41,7,15
Acrux Ltd,ACR.AX,30,0,29,53,215,376
Liquefied Natural Gas Ltd,LNG.AX,30,12,25,64,236,410
EML Payments Ltd,EML.AX,34,0,28,67,266,443
Perseus Mining Ltd,PRU.AX,56,45,79,36,182,555
Ioneer Ltd,INR.AX,20,9,15,46,412,555
Humm Group Ltd,HUM.AX,57,50,40,83,238,996
Evolution Mining Ltd,EVN.AX,49,57,52,31,231,555
AUB Group Ltd,AUB.AX,45,16,36,65,152,305
Hub24 Ltd,HUB.AX,15,0,30,7,349,375
Qube Holdings Ltd,QUB.AX,57,33,58,82,33,100
QBE Insurance Group Ltd,QBE.AX,77,89,87,61,24,305
Central Petroleum Ltd,CTP.AX,17,5,16,37,334,410
Qantas Airways Ltd,QAN.AX,72,68,66,84,12,114
Gold Road Resources Ltd,GOR.AX,82,79,83,84,21,555
Codan Ltd,CDA.AX,38,14,52,55,76,120
Crown Resorts Ltd,CWN.AX,55,81,42,51,98,322
Orocobre Ltd,ORE.AX,64,53,69,73,127,302
Austin Engineering Ltd,ANG.AX,20,2,33,26,489,554
Capitol Health Ltd,CAJ.AX,34,0,34,50,116,181
Boart Longyear Ltd,BLY.AX,50,26,57,74,218,555
New Hope Corporation Ltd,NHC.AX,46,51,57,29,22,55
Charter Hall Social Infrastructure REIT,CQE.AX,21,24,30,9,392,452
Los Cerros Ltd,LCL.AX,7,1,13,5,542,555
Sandfire Resources Ltd,SFR.AX,76,62,83,83,48,555
Thorn Group Ltd,TGA.AX,34,0,31,52,620,996
G8 Education Ltd,GEM.AX,27,7,30,40,70,94
BlueScope Steel Ltd,BSL.AX,72,65,76,76,72,555
Worley Ltd,WOR.AX,70,80,77,48,27,219
Clean TeQ Holdings Ltd,CLQ.AX,13,5,13,25,287,337
Super Retail Group Ltd,SUL.AX,78,69,79,81,15,266
Cleanaway Waste Management Ltd,CWY.AX,53,46,52,60,139,443
AMA Group Ltd,AMA.AX,23,10,15,52,76,94
InvoCare Ltd,IVC.AX,48,33,35,88,42,94
Nufarm Ltd,NUF.AX,59,51,48,92,111,326
Mesoblast Ltd,MSB.AX,25,0,43,26,343,538
Mayne Pharma Group Ltd,MYX.AX,61,30,70,70,75,376
ImpediMed Ltd,IPD.AX,30,3,29,45,203,329
CA Immobilien Anlagen AG,CAIV.VI,66,43,74,80,66,400
UNIQA Insurance Group AG,UNIQ.VI,50,67,38,58,132,305
Semperit AG Holding,SMPV.VI,48,35,72,28,114,231
voestalpine AG,VOES.VI,67,69,71,58,104,555
S Immo AG,SIAG.VI,28,16,47,19,301,400
Flughafen Wien AG,VIEV.VI,49,72,44,34,48,100
Kapsch Trafficcom AG,KTCG.VI,68,49,80,67,16,124
ams AG,AMS.S,55,31,56,81,76,232
Agrana Beteiligungs AG,AGRV.VI,54,51,57,55,141,375
Immofinanz AG,IMFI.VI,59,57,72,48,107,400
OMV AG,OMVV.VI,81,74,83,89,8,410
Vienna Insurance Group AG Wiener Versicherung Gruppe,VIGR.VI,66,66,60,73,57,305
S&T AG,SANT1.DE,58,41,58,64,150,813
Lenzing AG,LENV.VI,53,48,56,57,132,326
DO & CO AG,DOCO.VI,48,72,44,31,53,100
EVN AG,EVNV.VI,63,73,75,30,67,263
Palfinger AG,PALF.VI,58,63,73,34,174,554
AT & S Austria Technologie & Systemtechnik AG,ATSV.VI,57,35,74,56,70,232
Telekom Austria AG,TELA.VI,66,64,77,46,52,263
Porr AG,ABGV.VI,72,82,81,46,24,224
Schoeller Bleckmann Oilfield Equipment AG,SBOE.VI,56,52,45,75,68,219
Verbund AG,VERB.VI,77,88,75,61,25,263
Wienerberger AG,WBSV.VI,68,69,73,61,13,85
